MMK,res/graphics/portraits/mmk.png,"Taffy... 你来了。你是唯一一个回应我呼叫的。"
Taffy,res/graphics/portraits/taffy.png,"外面完全乱套了。那些粉色头发的人...他们攻击了我。"
MMK,res/graphics/portraits/mmk.png,"那是 LLW 病毒。它不致命 但会重构人的思维。"
MMK,res/graphics/portraits/mmk.png,"现在整个 SIPC 都被那个统一的'意志'接管了。"
MMK,res/graphics/portraits/mmk.png,"听着 Taffy。你的体质特殊 对病毒免疫。你是最后的希望。"
Taffy,res/graphics/portraits/taffy.png,"我该怎么做？把他们都消灭吗？"
MMK,res/graphics/portraits/mmk.png,"不！他们曾经是我们的同伴。他们的心智只是被囚禁了。"
MMK,res/graphics/portraits/mmk.png,"我给你上传了一段【反病毒代码】。"
MMK,res/graphics/portraits/mmk.png,"在战斗中...你需要让他们的连接过载。不要杀人 而是要【净化】他们。"
MMK,res/graphics/portraits/mmk.png,"去第一部门吧。那里的干部被强化了...救回他 我们就能找到真相碎片。"
System,nullptr,"【已获得任务物品：净化程序 V1.0】"