System_AI,nullptr,"[警告] 核心完整性：0%。正在执行最终格式化..."
MMK,res/graphics/portraits/mmk.png,"快走... Taffy... 我控制不住它了..."
MMK,res/graphics/portraits/mmk.png,"[系统错误] 0xDEAD... 你们都将成为... 跟我融为一体吧..."
Taffy,res/graphics/portraits/taffy.png,"（Taffy 将手按在了控制台上，粉色的光芒顺着她的手臂反向流动）"
Taffy,res/graphics/portraits/taffy.png,"不需要格式化。我记得我是谁了。"
Taffy,res/graphics/portraits/taffy.png,"我叫 LLW。我是这一切的起因... 也是唯一的容器。"
System_AI,nullptr,"[检测] 发现高权限源代码。正在重定向病毒数据流..."
MMK,res/graphics/portraits/mmk.png,"Taffy？！你在做什么？反向导入病毒... 你的意识会被吞噬的！"
Taffy,res/graphics/portraits/taffy.png,"主席，你也说过，我是那个‘特例’。"
Taffy,res/graphics/portraits/taffy.png,"只要我还在，病毒就被锁在我的身体里。科协... 就安全了。"
System_AI,nullptr,"[进度] 数据迁移完成。核心防火墙重置中..."
MMK,res/graphics/portraits/mmk.png,"不... 别走... Taffy！！"
Taffy,res/graphics/portraits/taffy.png,"再见了，MMK。早安，SIPC。"
System_AI,nullptr,"------------------------------------------------"
System_AI,nullptr,"[系统通知] LLW_Virus.exe 已隔离。"
System_AI,nullptr,"[系统通知] 世界重构完成。"
System_AI,nullptr,"------------------------------------------------"
System_AI,nullptr,"Project Code: LLW (代号：LLW)"
System_AI,nullptr,"执行完毕。"
System_AI,nullptr,"------------------------------------------------"
System_AI,nullptr,"Developers (开发小队):"
System_AI,nullptr,"郭子博 (Guo Zibo) - Core Logic & Architecture"
System_AI,nullptr,"王宁 (Wang Ning) - Map Design & Assets"
System_AI,nullptr,"韦义庭 (Wei Yiting) - System Integration & Gameplay"
System_AI,nullptr,"------------------------------------------------"
System_AI,nullptr,"Thank you for playing."